player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score,Total_Minutes,Goals_p90,Total_xG_p90,Total_Aerial_Wins_p90,scaled_Goals_p90,scaled_Total_xG_p90,scaled_Total_Aerial_Wins_p90,scaled_G_minus_xG,is_aerial_specialist,is_clinical_finisher,is_high_volume_threat
Gue-Sung Cho,2,0.71258904,0.08907363,8,1.28741096,0,0,16,16,0.8933333333333333,0.9866666666666668,0.94,365,0.4931506849315069,0.17570688657534247,3.945205479452055,0.421917808219178,0.1799549880685766,0.8454011741682974,0.5421701494624672,1,0,0
Olivier Giroud,4,3.0359552720000003,0.1785856042352941,17,0.9640447279999996,0,0,18,18,0.8533333333333334,1.0,0.9266666666666667,480,0.75,0.5692416135,3.375,0.6416666666666666,0.5975446803362768,0.7232142857142857,0.48725336305660916,0,0,0
Youssef En-Nesyri,2,1.045874203,0.0950794729999999,11,0.954125797,0,0,15,15,0.84,0.9666666666666668,0.9033333333333332,549,0.32786885245901637,0.17145478737704917,2.459016393442623,0.28051001821493615,0.17544297763030342,0.5269320843091335,0.485568846365635,0,0,0
Julián Álvarez,4,1.908327433,0.1734843120909091,11,2.091672567,3,0,3,6,0.9866666666666668,0.7866666666666666,0.8866666666666667,601,0.5990016638935108,0.2857728269051581,0.8985024958402662,0.5124792013311147,0.29674875239698434,0.19253624910862846,0.67875665267549,0,0,0
Bruno Petković,1,0.09977819,0.09977819,1,0.90022181,2,0,12,14,0.8133333333333334,0.9333333333333332,0.8733333333333333,559,0.16100178890876565,0.01606446708407871,2.2540250447227193,0.13774597495527727,0.010554362743353387,0.48300536672629696,0.4764144157307654,0,0,0
Lionel Andrés Messi Cuccittini,9,7.598649225,0.2234896830882353,34,1.401350775,1,0,5,6,0.9466666666666668,0.7866666666666666,0.8666666666666667,721,1.1234396671289875,0.9485137728848821,0.7489597780859917,0.9611650485436891,1.0,0.16049138101842678,0.5615203717932824,0,0,1
Mitchell Thomas Duke,1,0.254732119,0.0363903027142857,7,0.745267881,0,0,14,14,0.76,0.9333333333333332,0.8466666666666667,270,0.33333333333333337,0.08491070633333332,4.666666666666667,0.28518518518518515,0.08360885551087173,1.0,0.4500988299350244,1,0,0
Saleh Khalid Al Shehri,1,0.147030338,0.0490101126666666,3,0.852969662,1,0,7,8,0.8,0.8266666666666667,0.8133333333333334,223,0.40358744394618834,0.05933959829596413,3.2286995515695067,0.34529147982062774,0.05647470341274324,0.6918641896220371,0.46838965661202725,0,0,0
Jean-Eric Maxim Choupo-Moting,1,0.5235422875,0.1745140958333333,3,0.4764577125,0,0,13,13,0.68,0.9066666666666666,0.7933333333333333,264,0.34090909090909094,0.17848032528409088,4.431818181818182,0.29166666666666663,0.18289795431188682,0.9496753246753246,0.4044472153062057,1,0,0
Mohammed Kudus,2,0.658570808,0.082321351,8,1.341429192,2,0,1,3,0.92,0.6,0.76,254,0.7086614173228346,0.2333518611023622,1.0629921259842519,0.606299212598425,0.241123534391367,0.2277840269966254,0.5513439821487636,0,0,0
Mehdi Taremi,2,1.37814372,0.2296906199999999,6,0.62185628,0,0,6,6,0.72,0.7866666666666666,0.7533333333333333,299,0.6020066889632107,0.41482586889632106,1.8060200668896322,0.5150501672240803,0.4336902124618742,0.3870043000477783,0.4291400288561228,0,0,0
Enner Remberto Valencia Lastra,3,1.924592276,0.2138435862222222,9,1.0754077240000002,1,0,2,3,0.88,0.6,0.74,259,1.0424710424710424,0.6687772387644787,1.0424710424710424,0.8918918918918917,0.7031644599391692,0.2233866519580805,0.5061659682071941,0,0,1
Aleksandar Mitrović,2,1.501642214,0.1501642214,10,0.4983577859999999,0,0,6,6,0.6933333333333334,0.7866666666666666,0.74,268,0.6716417910447761,0.5042828330597015,2.014925373134328,0.5746268656716417,0.5286152688301287,0.4317697228144989,0.4081664708735962,0,0,0
Álvaro Borja Morata Martín,3,1.109480678,0.13868508475,8,1.890519322,1,0,1,2,0.9733333333333334,0.4466666666666666,0.71,355,0.76056338028169,0.2812767916056338,0.5070422535211268,0.6507042253521125,0.2919778951671152,0.10865191146881287,0.6445951085891235,0,0,0
Vincent Paté Aboubakar,2,0.5289856239999999,0.0881642706666666,6,1.471014376,0,0,2,2,0.96,0.4466666666666666,0.7033333333333334,279,0.6451612903225806,0.17064052387096773,0.6451612903225806,0.5519713261648744,0.17457894194637136,0.13824884792626727,0.5733512332679583,0,0,0
Randal Kolo Muani,2,2.050369225,0.410073845,5,-0.0503692249999998,3,0,7,10,0.48,0.88,0.6799999999999999,315,0.5714285714285714,0.5858197785714285,2.8571428571428568,0.48888888888888876,0.6151361922840047,0.6122448979591836,0.31497701237066916,0,0,0
Gonçalo Matias Ramos,3,1.671089706,0.2387271008571428,7,1.328910294,0,0,2,2,0.9066666666666666,0.4466666666666666,0.6766666666666666,334,0.8083832335329341,0.45029363335329337,0.5389221556886228,0.6916167664670657,0.4713259580052298,0.11548331907613345,0.5492179170885666,0,0,0
Ferrán Torres García,2,1.005212115,0.25130302875,4,0.994787885,1,0,1,2,0.8666666666666667,0.4466666666666666,0.6566666666666667,280,0.6428571428571428,0.32310389410714285,0.6428571428571428,0.5499999999999998,0.3363616958002896,0.1377551020408163,0.49247442580013884,0,0,0
